id,pergunta,gpt-5,gpt-5-mini,gpt-5-nano,gemini-2.5-flash,gemini-2.5-pro,deepseek-chat,deepseek-reasoner
1,"Há cultivares de macieira resistentes a todas as doenças da macieira?",
2,"Há possibilidade de uso de drones de pulverização na cultura da macieira?",	
3,"Como funcionam os sistemas digitais de monitoramento de pragas e doenças e vale a pena investir neles para pequenos produtores?",
4,"Como posso ajustar o volume de calda e o tipo de bico na pulverização para garantir melhor cobertura e menor desperdício?",
5,"De que forma a agricultura de precisão pode me ajudar a aplicar insumos de forma mais eficiente e aumentar a produtividade do meu pomar?",
6,"Quais são as estratégias mais eficazes e sustentáveis atualmente para o controle da sarna da macieira?",
7,"Que medidas preventivas posso adotar no pomar para evitar a infecção por Glomerella antes que ela se manifeste nos frutos?",
8,"Qual é o momento-chave e quais são os produtos ou manejos culturais mais eficientes para o controle preventivo da mancha da gala?",
9,"Há fungicidas para cura do cancro europeu?",
10,"Por que não há maior fiscalização de fruticultores que não manejam o cancro europeu em Santa Catarina?",
11,"Tem como não arrancar a planta para fazer o controle do cancro europeu?",	
12,"O que está sendo estudado para um controle mais pleno do Cancro Europeu?",
13,"Como reduzir as podridões carpelar e calicinar na cultura da macieira?",
14,"Quais são os principais distúrbios fisiológicos que afetam maçãs durante o armazenamento e como preveni-los?",
15,"Quais inseticidas matam adultos da mariposa-oriental?",
16,"Quais inseticidas não matam abelhas nos pomares?",
17,"Usando confusão sexual tenho que aplicar inseticidas?",
18,"Quais inseticidas posso utilizar no controle de mosca-das-frutas?",
19,"Quais inseticidas tem ação de profundidade sobre a mosca-das-frutas?",
20,"Quando devo instalar a confusão sexual nos pomares de maçã?",
21,"Qual o nível de controle quando uso CeraTrap no monitoramento de mosca-das-frutas?",
22,"Quando devo iniciar o controle de pulgão lanigero nos pomares de maçã?",
23,"Após quantos milímetros de chuva tenho que reaplicar inseticidas?",
24,"Inseticidas reguladores de crescimento matam adultos da mariposa-oriental?",
25,"Por que estão acabando as abelhas nos pomares?",
26,"Com as exigências cada vez maiores do mercado pela segurança alimentar e sustentabilidade ambiental, qual a perspectiva de seguir utilizando agrotóxico em pomares de maçã ou migrar para a produção orgânica?",
27,"Em relação a atividade de fertirrigacao, quais as necessidades da cultura da maçã em relação aos seus estágios fenológicos?",
28,"Qual sistema de irrigação é mais eficiente para pomares de maçã em regiões com verões secos?",
29,"Com que frequência devo fazer a análise de solo e quais indicadores devo priorizar na correção para manter o pomar produtivo?",
30,"Minha análise de solo mostra um pH baixo e presença de alumínio, Qual a estratégia mais eficaz para corrigir o solo em um pomar já estabelecido (adulto), sem revolver a terra?",
31,"Como fazer a correção adequada do solo para o plantio de macieiras, considerando análise de solo e as necessidades específicas da cultura?",
32,"Qual profissional e órgão define o uso de defensivos agrícolas na cultura da maçã?",
33,"Por que não há maior fiscalização sobre venda de mudas de má qualidade?",
34,"Por que não tem créditos de subvenção para os fruticultores de macieira?",
35,"Qual porta-enxerto é mais produtivo na cultura macieira?",
36,"Qual a relação do ângulo de arqueamento com a frutificação?",
37,"Qual a relação das fases da lua com a incisão?",
38,"De que forma o manejo da carga de frutos e da poda influencia o balanço de carboidratos e o tamanho final das maçãs?",
39,"Quais práticas de manejo são cruciais para evitar a alternância de produção?",
40,"Qual a tendência do mercado brasileiro e mundial para variedades da cor verde?",	
41,"A Fuji suprema é inferior em sabor a Fuji tradicional e seus clones?",
42,"Mesmo tendo uma coloração mais intensa, a Fuji suprema vai continuar sendo preferida pelo mercado brasileiro?",
43,"Quais fatores mais impactam o preço de venda da maçã ao longo do ano?",
44,"Olhando para os próximos 10 anos, quais são as maiores ameaças e oportunidades para o produtor de maçã no Brasil?", 
45,"Devo investir em novas variedades (como as resistentes à sarna) ou focar em eficiência de produção com as  variedades que já tenho?",
46,"Considerando as dificuldades crescentes de contratação de mão-de-obra nas regiões produtoras, qual a expectativa de ampliação da área produtiva?",
47,"O custo da mão de obra para a colheita e raleio está cada vez mais alto, Quais investimentos em mecanização já se provaram economicamente viáveis para pomares pequenos ou médios?",
48,"Quais operações no pomar de maçãs são mais viáveis para a mecanização, sem prejudicar a qualidade dos frutos?",
49,"Quais são as principais exigências ambientais que os produtores de maçã precisam cumprir atualmente?",
50,"Quais as tendências e inovações tecnológicas que devo acompanhar para me manter competitivo na produção de maçãs nos próximos anos?",
